Order,Seasonal_Order,AIC,BIC
"(0, 0, 1)","(1, 0, 1, 12)",2995.772336022587,3012.8335408735375
"(0, 0, 1)","(1, 0, 2, 12)",2881.7455992535233,2902.956715580799
"(0, 0, 1)","(1, 1, 0, 12)",2960.0328781908856,2972.7711984873304
"(0, 0, 1)","(1, 1, 1, 12)",2863.130718887493,2880.099611949314
"(0, 0, 1)","(1, 1, 2, 12)",2770.7603586526643,2791.853359251123
"(0, 0, 1)","(1, 2, 0, 12)",3234.107411415672,3246.775140219886
"(0, 0, 1)","(1, 2, 1, 12)",2934.991350586921,2951.8657510656876
"(0, 0, 1)","(1, 2, 2, 12)",2794.619233564547,2815.59126052007
"(0, 0, 1)","(2, 0, 0, 12)",2961.923646676757,2978.9080737386835
"(0, 0, 1)","(2, 0, 1, 12)",2892.9018312375065,2914.132365064914
"(0, 0, 1)","(2, 0, 2, 12)",2886.6625956156586,2912.1159352083896
"(0, 0, 1)","(2, 1, 0, 12)",2824.30356954725,2841.1938746195356
"(0, 0, 1)","(2, 1, 1, 12)",2785.0807260558618,2806.193607396219
"(0, 0, 1)","(2, 1, 2, 12)",2772.206006617851,2797.517607336001
"(0, 0, 1)","(2, 2, 0, 12)",3031.4033945372694,3048.1973094032387
"(0, 0, 1)","(2, 2, 1, 12)",2814.9952753989855,2835.987668981447
"(0, 0, 1)","(2, 2, 2, 12)",2794.9225091032245,2820.0889414498524
"(0, 0, 2)","(0, 0, 0, 12)",4956.571171818411,4969.429166101938
"(0, 0, 2)","(0, 0, 1, 12)",4405.677513043362,4422.731106093728
"(0, 0, 2)","(0, 0, 2, 12)",4112.815112536354,4134.016491762208
"(0, 0, 2)","(0, 1, 0, 12)",3083.8565247685374,3096.6467195563123
"(0, 0, 2)","(0, 1, 1, 12)",2844.156894487823,2861.1179978685063
"(0, 0, 2)","(0, 1, 2, 12)",2729.1042793176566,2750.187309823081
"(0, 0, 2)","(0, 2, 0, 12)",3530.8830869787207,3543.603914514233
"(0, 0, 2)","(0, 2, 1, 12)",2978.730320364545,2995.5967447688845
"(0, 0, 2)","(0, 2, 2, 12)",2766.3154584072945,2787.277270854669
"(0, 0, 2)","(1, 0, 0, 12)",3144.346123509971,3161.4225086447964
"(0, 0, 2)","(1, 0, 1, 12)",2924.792411178698,2946.109402491656
"(0, 0, 2)","(1, 0, 2, 12)",2847.3149151177695,2872.7565701887943
"(0, 0, 2)","(1, 1, 0, 12)",2933.550577801429,2950.5350048633554
"(0, 0, 2)","(1, 1, 1, 12)",2829.731020610183,2850.932399836037
"(0, 0, 2)","(1, 1, 2, 12)",2730.0553928051877,2755.3550294116967
"(0, 0, 2)","(1, 2, 0, 12)",3223.7047421583234,3240.595047230609
"(0, 0, 2)","(1, 2, 1, 12)",2901.098991334663,2922.182021840087
"(0, 0, 2)","(1, 2, 2, 12)",2751.7855980014956,2776.939772938345
"(0, 0, 2)","(2, 0, 0, 12)",2935.535766401772,2956.7663002291797
"(0, 0, 2)","(2, 0, 1, 12)",2861.9604179962303,2887.4370585891197
"(0, 0, 2)","(2, 0, 2, 12)",2834.990654942049,2864.6725858582445
"(0, 0, 2)","(2, 1, 0, 12)",2800.3887092290097,2821.5015905693667
"(0, 0, 2)","(2, 1, 1, 12)",2750.3597052993523,2775.6951629077803
"(0, 0, 2)","(2, 1, 2, 12)",2730.175997336371,2759.692240043965
"(0, 0, 2)","(2, 2, 0, 12)",3018.9622673766116,3039.954660959073
"(0, 0, 2)","(2, 2, 1, 12)",2791.7796361521555,2816.9705084511093
"(0, 0, 2)","(2, 2, 2, 12)",2754.1341075124083,2783.4806449387324
"(0, 1, 0)","(0, 0, 0, 12)",3250.666535085148,3254.9543936453097
"(0, 1, 0)","(0, 0, 1, 12)",3130.023429031995,3138.5540314574705
"(0, 1, 0)","(0, 0, 2, 12)",3054.6870468907896,3067.413716687155
"(0, 1, 0)","(0, 1, 0, 12)",3294.263874070096,3298.5291752828334
"(0, 1, 0)","(0, 1, 1, 12)",2932.7212072954144,2941.2056538263246
"(0, 1, 0)","(0, 1, 2, 12)",2852.1463546649106,2864.802155023986
"(0, 1, 0)","(0, 2, 0, 12)",3775.2876812650966,3779.529904530552
"(0, 1, 0)","(0, 2, 1, 12)",3189.8611529098007,3198.298353149184
"(0, 1, 0)","(0, 2, 2, 12)",2854.6415132492807,2867.224729422595
"(0, 1, 0)","(1, 0, 0, 12)",3111.4051348978082,3119.939535994891
"(0, 1, 0)","(1, 0, 1, 12)",3002.2383958563623,3015.0342994945754
"(0, 1, 0)","(1, 0, 2, 12)",2938.50679726352,2955.475690325341
"(0, 1, 0)","(1, 1, 0, 12)",3114.1662777323877,3122.654611533715
"(0, 1, 0)","(1, 1, 1, 12)",2934.42688965252,2947.1535594488855
"(0, 1, 0)","(1, 1, 2, 12)",2846.646051216509,2863.520451695276
"(0, 1, 0)","(1, 2, 0, 12)",3446.9978578073783,3455.439038147578
"(0, 1, 0)","(1, 2, 1, 12)",3091.6685729256596,3104.324373284735
"(0, 1, 0)","(1, 2, 2, 12)",2856.6333658121566,2873.410987376575
"(0, 1, 0)","(2, 0, 0, 12)",3028.122881486838,3040.8553821888295
"(0, 1, 0)","(2, 0, 1, 12)",2944.4835500269983,2961.460217629653
"(0, 1, 0)","(2, 0, 2, 12)",2933.922777991005,2955.133894318281
"(0, 1, 0)","(2, 1, 0, 12)",2950.6428011853923,2963.3045716956913
"(0, 1, 0)","(2, 1, 1, 12)",2875.3943465270513,2892.2767072074503
"(0, 1, 0)","(2, 1, 2, 12)",2855.054083141994,2876.1470837404527
"(0, 1, 0)","(2, 2, 0, 12)",3202.308735760108,3214.8980681434914
"(0, 1, 0)","(2, 2, 1, 12)",2938.2090765785624,2954.9948530897404
"(0, 1, 0)","(2, 2, 2, 12)",2888.33720749894,2909.3092344544634
"(0, 1, 1)","(0, 0, 0, 12)",3246.5182843060948,3255.0902804951124
"(0, 1, 1)","(0, 0, 1, 12)",3111.233359838475,3124.0235546262497
"(0, 1, 1)","(0, 0, 2, 12)",3021.647624598522,3038.608727979205
"(0, 1, 1)","(0, 1, 0, 12)",3157.0035084111655,3165.530304936349
"(0, 1, 1)","(0, 1, 1, 12)",2809.0690579943343,2821.7898855298467
"(0, 1, 1)","(0, 1, 2, 12)",2701.6141624907323,2718.4805868950716
"(0, 1, 1)","(0, 2, 0, 12)",3623.5751346107036,3632.055686301045
"(0, 1, 1)","(0, 2, 1, 12)",3014.329584905457,3026.9794032087116
"(0, 1, 1)","(0, 2, 2, 12)",2735.369290413585,2752.1387403714843
"(0, 1, 1)","(1, 0, 0, 12)",3065.5887322740773,3078.3903339197013
"(0, 1, 1)","(1, 0, 1, 12)",2893.5339969458496,2910.587589996216
"(0, 1, 1)","(1, 0, 2, 12)",2809.5408667457777,2830.7422459716317
"(0, 1, 1)","(1, 1, 0, 12)",2963.857946109676,2976.5904468116673
"(0, 1, 1)","(1, 1, 1, 12)",2804.808304988501,2821.769408369184
"(0, 1, 1)","(1, 1, 2, 12)",2703.5622949583994,2724.6453254638236
"(0, 1, 1)","(1, 2, 0, 12)",3263.1928978129363,3275.8546683232353
"(0, 1, 1)","(1, 2, 1, 12)",2936.3695467223224,2953.2359711266618
"(0, 1, 1)","(1, 2, 2, 12)",2723.620821198808,2744.5826336461823
"(0, 1, 1)","(2, 0, 0, 12)",2937.3205306750588,2954.2971982777135
"(0, 1, 1)","(2, 0, 1, 12)",2821.6117235958295,2842.832558099148
"(0, 1, 1)","(2, 0, 2, 12)",2809.7296136948435,2835.1712687658683
"(0, 1, 1)","(2, 1, 0, 12)",2811.4977152848833,2828.3800759652822
"(0, 1, 1)","(2, 1, 1, 12)",2712.1460458684323,2733.248996718931
"(0, 1, 1)","(2, 1, 2, 12)",2693.7741236349407,2719.0737602414497
"(0, 1, 1)","(2, 2, 0, 12)",3057.8837429621694,3074.6695194733475
"(0, 1, 1)","(2, 2, 1, 12)",2802.3674586561815,2823.349679295154
"(0, 1, 1)","(2, 2, 2, 12)",2730.6314209750835,2755.785595911933
"(0, 1, 2)","(0, 0, 0, 12)",3234.092450028606,3246.944852511818
"(0, 1, 2)","(0, 0, 1, 12)",3106.9501467063005,3123.996113443585
"(0, 1, 2)","(0, 0, 2, 12)",3012.658037894851,3033.8496610200486
"(0, 1, 2)","(0, 1, 0, 12)",3147.096265888448,3159.880740941411
"(0, 1, 2)","(0, 1, 1, 12)",2778.4743997161513,2795.427698216309
"(0, 1, 2)","(0, 1, 2, 12)",2673.5295676618516,2694.6026081539626
"(0, 1, 2)","(0, 2, 0, 12)",3582.741275623569,3595.4562494986876
"(0, 1, 2)","(0, 2, 1, 12)",2985.0903607866035,3001.9487931802923
"(0, 1, 2)","(0, 2, 2, 12)",2715.755019757379,2736.7065967866447
"(0, 1, 2)","(1, 0, 0, 12)",3044.9840733552533,3062.052875549419
"(0, 1, 2)","(1, 0, 1, 12)",2878.9499463445077,2900.257404766113
"(0, 1, 2)","(1, 0, 2, 12)",2768.396040068956,2793.8259878191934
"(0, 1, 2)","(1, 1, 0, 12)",2941.4439413229566,2958.4206089256113
"(0, 1, 2)","(1, 1, 1, 12)",2770.422741064223,2791.6143641894205
"(0, 1, 2)","(1, 1, 2, 12)",2675.104888302678,2700.392536893211
"(0, 1, 2)","(1, 2, 0, 12)",3236.1978110889654,3253.0801717693644
"(0, 1, 2)","(1, 2, 1, 12)",2903.4567458933243,2924.5297863854353
"(0, 1, 2)","(1, 2, 2, 12)",2699.296328676459,2724.4382211115776
"(0, 1, 2)","(2, 0, 0, 12)",2903.632280761524,2924.8531152648425
"(0, 1, 2)","(2, 0, 1, 12)",2804.230461408836,2829.6954628128187
"(0, 1, 2)","(2, 0, 2, 12)",2769.8273791982583,2799.495651573535
"(0, 1, 2)","(2, 1, 0, 12)",2789.2906661105753,2810.393616961074
"(0, 1, 2)","(2, 1, 1, 12)",2704.141490305089,2729.4650313256875
